TIMESTAMP : 2022-04-10T20:15:46.471576300Z | LOGTYPE : EVENT_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : Database db10 has been successfully created. |  Query Execution Duration : 13 milliseconds | 
TIMESTAMP : 2022-04-10T20:15:46.472213800Z | LOGTYPE : EVENT_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : Database db10 has been successfully created. |  Query Execution Duration : 13 milliseconds | 
TIMESTAMP : 2022-04-10T20:16:37.716953400Z | LOGTYPE : EVENT_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : Database db10 is currently in use. |  Query Execution Duration : 9 milliseconds | 
TIMESTAMP : 2022-04-10T20:20:02.005666200Z | LOGTYPE : EVENT_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : Error Occurred: No database is selected for use.  |  Query Execution Duration : 1 milliseconds | 
TIMESTAMP : 2022-04-10T20:20:23.935566500Z | LOGTYPE : EVENT_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : Database db10 is currently in use. |  Query Execution Duration : 2 milliseconds | 
TIMESTAMP : 2022-04-10T20:24:03.267401200Z | LOGTYPE : EVENT_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : Database db10 is currently in use. |  Query Execution Duration : 2 milliseconds | 
TIMESTAMP : 2022-04-10T20:24:31.338217900Z | LOGTYPE : EVENT_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : Error Occurred: Something went wrong during Query Execution. Try Again. |  Query Execution Duration : 2 milliseconds | 
TIMESTAMP : 2022-04-10T20:25:44.812209400Z | LOGTYPE : EVENT_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : Database db10 is currently in use. |  Query Execution Duration : 0 milliseconds | 
TIMESTAMP : 2022-04-10T20:28:29.656042700Z | LOGTYPE : EVENT_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : Database db10 is currently in use. |  Query Execution Duration : 4 milliseconds | 
TIMESTAMP : 2022-04-10T20:28:46.301000200Z | LOGTYPE : EVENT_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : Table xyz1 has been created successfully. |  Query Execution Duration : 3 milliseconds | 
TIMESTAMP : 2022-04-10T20:36:43.906719400Z | LOGTYPE : EVENT_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : Error Occurred: Table xyz11 does not exist in the system. |  Query Execution Duration : 0 milliseconds | 
TIMESTAMP : 2022-04-10T20:37:17.054571900Z | LOGTYPE : EVENT_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : Error Occurred: Table xyz1 does not exist in the system. |  Query Execution Duration : 0 milliseconds | 
TIMESTAMP : 2022-04-10T20:38:02.165704Z | LOGTYPE : EVENT_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : Database db10 is currently in use. |  Query Execution Duration : 1 milliseconds | 
TIMESTAMP : 2022-04-10T20:38:23.867079400Z | LOGTYPE : EVENT_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : Error Occurred: Table xyz1 does not exist in the system. |  Query Execution Duration : 0 milliseconds | 
TIMESTAMP : 2022-04-10T20:48:24.071596400Z | LOGTYPE : EVENT_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : Database db11 has been successfully created. |  Query Execution Duration : 15 milliseconds | 
