TIMESTAMP : 2022-04-10T20:15:46.438565400Z | LOGTYPE : QUERY_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : create database db10; | 
TIMESTAMP : 2022-04-10T20:15:46.450099500Z | LOGTYPE : QUERY_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : create database db10; | 
TIMESTAMP : 2022-04-10T20:16:37.704789100Z | LOGTYPE : QUERY_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : use database db10; | 
TIMESTAMP : 2022-04-10T20:17:14.862183400Z | LOGTYPE : QUERY_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : create table xyz (name text,id int); | 
TIMESTAMP : 2022-04-10T20:18:08.707267500Z | LOGTYPE : QUERY_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : create table xyz11(id INT); | 
TIMESTAMP : 2022-04-10T20:20:02.002018800Z | LOGTYPE : QUERY_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : create table bhb (id INT); | 
TIMESTAMP : 2022-04-10T20:20:23.930312Z | LOGTYPE : QUERY_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : use database db10; | 
TIMESTAMP : 2022-04-10T20:24:03.247405800Z | LOGTYPE : QUERY_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : use database db10; | 
TIMESTAMP : 2022-04-10T20:24:31.328191800Z | LOGTYPE : QUERY_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : create table guryash (aa int); | 
TIMESTAMP : 2022-04-10T20:25:44.809214300Z | LOGTYPE : QUERY_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : use database db10; | 
TIMESTAMP : 2022-04-10T20:28:29.614010400Z | LOGTYPE : QUERY_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : use database db10; | 
TIMESTAMP : 2022-04-10T20:28:46.291072200Z | LOGTYPE : QUERY_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : create table xyz1 (id INT); | 
TIMESTAMP : 2022-04-10T20:36:12.404109600Z | LOGTYPE : QUERY_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : insert into xyz11 (id) VALUES (1) | 
TIMESTAMP : 2022-04-10T20:36:43.902718500Z | LOGTYPE : QUERY_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : insert into xyz11 (id) VALUES (1); | 
TIMESTAMP : 2022-04-10T20:37:17.051490700Z | LOGTYPE : QUERY_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : insert into xyz1 (id) VALUES (1); | 
TIMESTAMP : 2022-04-10T20:38:02.162462100Z | LOGTYPE : QUERY_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : use database db10; | 
TIMESTAMP : 2022-04-10T20:38:23.864084500Z | LOGTYPE : QUERY_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : insert into xyz1 (id) VALUES (1); | 
TIMESTAMP : 2022-04-10T20:48:24.053309400Z | LOGTYPE : QUERY_LOGGER | HOSTNAME : hostname | USERNAME : bharatwaaj | MESSAGE : create database db11; | 
